Round,Dataset,Local_Class,Accuracy
11,EMNIST,2,93.25
11,EMNIST,3,98.69
11,EMNIST,4,85.69
11,EMNIST,5,86.8
11,EMNIST,6,91.38
11,EMNIST,7,98.48
11,EMNIST,8,91.13
11,EMNIST,9,64.37
11,EMNIST,10,96.07
11,EMNIST,11,96.61
11,EMNIST,12,72.04
11,EMNIST,13,90.13
11,EMNIST,14,95.74
11,EMNIST,15,53.21
11,EMNIST,16,94.35
11,EMNIST,17,97.47
11,EMNIST,18,68.1
11,EMNIST,19,85.44
11,EMNIST,20,74.43
11,EMNIST,21,95.52
11,EMNIST,22,40.67
11,EMNIST,23,96.01
11,EMNIST,24,51.87
11,EMNIST,25,57.32
11,EMNIST,26,95.21
11,EMNIST,27,94.84
11,EMNIST,28,41.54
11,EMNIST,29,84.23
11,EMNIST,30,54.51
11,EMNIST,31,42.4
11,EMNIST,32,86.22
11,EMNIST,33,76.59
11,EMNIST,34,75.07
11,EMNIST,35,78.91
11,EMNIST,36,89.3
11,EMNIST,37,88.4
11,EMNIST,38,39.69
11,EMNIST,39,97.06
11,EMNIST,40,94.25
11,EMNIST,41,82.69
11,EMNIST,42,55.78
11,EMNIST,43,95.17
11,EMNIST,44,53.21
11,EMNIST,45,82.7
11,EMNIST,46,70.99
11,EMNIST,47,42.69
11,EMNIST,48,81.28
11,EMNIST,49,94.09
11,EMNIST,50,38.44
11,EMNIST,51,83.88
11,EMNIST,52,71.52
11,EMNIST,53,96.54
11,EMNIST,54,71.61
11,EMNIST,55,94.58
11,EMNIST,56,70.16
11,EMNIST,57,76.06
11,EMNIST,58,66.35
11,EMNIST,59,70.09
11,EMNIST,60,71.76
11,EMNIST,61,61.22
11,CIFAR10,0,53.52
11,CIFAR10,1,89.23
11,CIFAR10,2,29.45
11,CIFAR10,3,55.05
11,CIFAR10,4,56.04
11,CIFAR10,5,41.21
11,CIFAR10,6,78.24
11,CIFAR10,7,64.73
11,CIFAR10,8,78.35
11,CIFAR10,9,56.81
12,MNIST,0,99.66
12,MNIST,1,99.42
12,MNIST,2,97.55
12,MNIST,3,99.46
12,MNIST,4,98.43
12,MNIST,5,98.03
12,MNIST,6,98.39
12,MNIST,7,99.57
12,MNIST,8,99.66
12,MNIST,9,98.69
12,EMNIST,0,30.59
12,EMNIST,1,42.0
12,EMNIST,2,81.47
12,EMNIST,3,97.72
12,EMNIST,4,91.27
12,EMNIST,5,90.46
12,EMNIST,6,96.66
12,EMNIST,7,96.52
12,EMNIST,8,96.43
12,EMNIST,9,93.44
12,EMNIST,10,95.76
12,EMNIST,11,95.25
12,EMNIST,12,82.92
12,EMNIST,13,77.72
12,EMNIST,14,99.22
12,EMNIST,15,65.34
12,EMNIST,16,93.61
12,EMNIST,17,98.31
12,EMNIST,18,54.24
12,EMNIST,19,79.3
12,EMNIST,20,69.25
12,EMNIST,21,96.74
12,EMNIST,22,89.56
12,EMNIST,23,98.78
12,EMNIST,24,16.94
12,EMNIST,25,77.4
12,EMNIST,26,85.37
12,EMNIST,27,97.55
12,EMNIST,28,68.65
12,EMNIST,29,96.3
12,EMNIST,30,41.04
12,EMNIST,31,47.93
12,EMNIST,32,83.49
12,EMNIST,33,54.96
12,EMNIST,34,88.15
12,EMNIST,35,94.31
12,EMNIST,36,92.91
12,EMNIST,37,78.87
12,EMNIST,38,28.24
12,EMNIST,39,97.19
12,EMNIST,40,96.96
12,EMNIST,41,66.76
12,EMNIST,42,68.66
12,EMNIST,43,60.3
12,EMNIST,44,52.44
12,EMNIST,45,83.74
12,EMNIST,46,76.89
12,EMNIST,47,56.96
12,EMNIST,48,23.93
12,EMNIST,49,93.11
12,EMNIST,50,84.67
12,EMNIST,51,70.15
12,EMNIST,52,39.78
12,EMNIST,53,93.98
12,EMNIST,54,41.96
12,EMNIST,55,92.77
12,EMNIST,56,87.93
12,EMNIST,57,70.19
12,EMNIST,58,69.65
12,EMNIST,59,86.92
12,EMNIST,60,45.24
