dataset_a,label_a_id,label_a_name,dataset_b,label_b_id,label_b_name,score_a_to_b,score_b_to_a,relation_score,pass_threshold
MNIST,1,1,EMNIST,9,9,0.06927172094583511,0.00047284187166951597,0.034872281408752315,False
MNIST,1,1,EMNIST,10,A,0.03630317375063896,3.035983900190331e-05,0.018166766794820433,False
MNIST,1,1,EMNIST,11,B,0.004168864339590073,1.273841689908295e-06,0.0020850690906399905,False
MNIST,1,1,EMNIST,12,C,0.004876055754721165,2.200378366978839e-05,0.0024490297691954765,False
MNIST,1,1,EMNIST,13,D,0.006680344697088003,1.9680350305861793e-05,0.0033500125236969325,False
MNIST,1,1,EMNIST,14,E,0.0025378961581736803,8.741025339986663e-06,0.0012733185917568335,False
MNIST,1,1,EMNIST,15,F,0.06253451853990555,0.00010451445268699899,0.031319516496296274,False
MNIST,1,1,EMNIST,16,G,0.009262457489967346,6.222934416655335e-07,0.004631539891704506,False
MNIST,1,1,EMNIST,17,H,0.1054614782333374,3.734830170287751e-05,0.05274941326752014,False
MNIST,1,1,EMNIST,18,I,0.9108287692070007,0.19113877415657043,0.5509837716817856,True
MNIST,1,1,EMNIST,19,J,0.07092927396297455,0.002152658300474286,0.03654096613172442,False
MNIST,1,1,EMNIST,20,K,0.024681707844138145,5.123165465192869e-05,0.012366469749395037,False
MNIST,1,1,EMNIST,21,L,0.12143196165561676,0.0017003925750032067,0.061566177115309983,False
MNIST,1,1,EMNIST,22,M,0.05506851524114609,7.901207936811261e-06,0.02753820822454145,False
MNIST,1,1,EMNIST,23,N,0.12509411573410034,0.00042066359310410917,0.06275738966360223,False
MNIST,1,1,EMNIST,24,O,0.004474971443414688,2.455381581967231e-05,0.00224976262961718,False
MNIST,1,1,EMNIST,25,P,0.06672744452953339,6.980323087191209e-05,0.03339862388020265,False
MNIST,1,1,EMNIST,26,Q,0.005836477503180504,2.721191549426294e-06,0.002919599347364965,False
MNIST,1,1,EMNIST,27,R,0.037744324654340744,4.070344402862247e-06,0.018874197499371803,False
MNIST,1,1,EMNIST,28,S,0.0025748619809746742,5.113713996252045e-05,0.0013129995604685973,False
MNIST,1,1,EMNIST,29,T,0.10925881564617157,0.0005884396377950907,0.05492362764198333,False
MNIST,1,1,EMNIST,30,U,0.16542644798755646,0.00034091336419805884,0.08288368067587726,False
MNIST,1,1,EMNIST,31,V,0.330051988363266,0.001952697173692286,0.16600234276847914,True
MNIST,1,1,EMNIST,32,W,0.06515984237194061,9.105714525503572e-06,0.03258447404323306,False
MNIST,1,1,EMNIST,33,X,0.11319513618946075,0.00023736021830700338,0.05671624820388388,False
MNIST,1,1,EMNIST,34,Y,0.4541088044643402,0.0024805788416415453,0.22829469165299088,True
MNIST,1,1,EMNIST,35,Z,0.007679256144911051,9.630252316128463e-05,0.0038877793340361677,False
MNIST,1,1,EMNIST,36,a,0.030337845906615257,1.3959363059257157e-05,0.015175902634837257,False
MNIST,1,1,EMNIST,37,b,0.11749482154846191,5.44081449334044e-05,0.05877461484669766,False
MNIST,1,1,EMNIST,38,c,0.011991865001618862,6.770677828171756e-06,0.005999317839723517,False
MNIST,1,1,EMNIST,39,d,0.05454670265316963,0.00016277529357466847,0.02735473897337215,False
MNIST,1,1,EMNIST,40,e,0.004891482647508383,1.1267794434388634e-05,0.0024513752209713857,False
MNIST,1,1,EMNIST,41,f,0.13528427481651306,4.045069726998918e-05,0.06766236275689153,False
MNIST,1,1,EMNIST,42,g,0.06850610673427582,2.3697826691204682e-05,0.03426490228048351,False
MNIST,1,1,EMNIST,43,h,0.23037031292915344,0.0026175968814641237,0.11649395490530878,True
