Time: 2026-06-18 12:08:07
Log Dir: logs/2026-06-18_12-08-07/GeFL_DDIM_baseline_total
================================================================================

==============================        Args        ==============================
  exp_timestamp: None
  exp_conf: ./configs/het-iid-exp.yaml
  device: cuda:1
  seed: 15698
  algorithm: GeFL_DDIM_baseline_total
  num_new_clients: 1
  num_train_mnist: 10
  num_train_emnist: 10
  num_train_fashionmnist: 0
  num_train_cifar10: 0
  num_train_cifar100: 0
  num_train_usps: 0
  label_mapping: independent
================================================================================
==============================    Exp Configs     ==============================
exp_name: model-heterogeneity
heterogeneous: true
dirichlet_alpha: 100
global_rounds: 30
local_epochs: 1
local_loss_fn: CrossEntropyLoss
local_optim: Adam
local_lr: 0.001
batch_size: 64
sample_frac: 1.0
test_interval: 1
metric_type: accuracy
global_feature_dim: 256
optim: Adam
optim_lr: 0.001
global_gen_epochs: 10
gen_noise_dim: 128
gen_optim: Adam
gen_optim_lr: 0.001
global_feat_gen_epochs: 10
feat_gen_noise_dim: 128
feat_gen_optim: Adam
feat_gen_optim_lr: 0.001
feat_gen_div_beta: 1.0
public_data_ratio: 0.05
start_mapping_epoch: 20
gen_observer_weight: 0.0
index_matching: ddpm
aggregate_method: dataset_name
use_new_entropy_method: true
entropy_ratio: 0.7
cs_threshold: 0.9
global_model_epochs: 5
global_model_optim: Adam
global_model_optim_lr: 0.001
global_samples_per_class: 64

================================================================================

==================================================
Start 30 rounds training by GeFL_DDIM_baseline_total
Client 0 (MNIST) | Target Loss: 0.1522 | DDIM Loss: 0.0123
Client 1 (MNIST) | Target Loss: 0.0609 | DDIM Loss: 0.0121
Client 2 (MNIST) | Target Loss: 0.0502 | DDIM Loss: 0.0122
Client 3 (MNIST) | Target Loss: 0.0725 | DDIM Loss: 0.0123
Client 4 (MNIST) | Target Loss: 0.1159 | DDIM Loss: 0.0127
Client 5 (MNIST) | Target Loss: 0.4943 | DDIM Loss: 0.0121
Client 6 (MNIST) | Target Loss: 0.0735 | DDIM Loss: 0.0123
Client 7 (MNIST) | Target Loss: 0.0312 | DDIM Loss: 0.0128
Client 8 (MNIST) | Target Loss: 0.6226 | DDIM Loss: 0.0145
Client 9 (MNIST) | Target Loss: 0.1966 | DDIM Loss: 0.0122
Client 11 (EMNIST) | Target Loss: 0.4613 | DDIM Loss: 0.0082
Client 12 (EMNIST) | Target Loss: 0.4296 | DDIM Loss: 0.0081
Client 13 (EMNIST) | Target Loss: 0.3345 | DDIM Loss: 0.0082
Client 14 (EMNIST) | Target Loss: 0.3138 | DDIM Loss: 0.0081
Client 15 (EMNIST) | Target Loss: 0.4751 | DDIM Loss: 0.0081
Client 16 (EMNIST) | Target Loss: 0.6691 | DDIM Loss: 0.0082
Client 17 (EMNIST) | Target Loss: 0.3899 | DDIM Loss: 0.0082
Client 18 (EMNIST) | Target Loss: 0.3019 | DDIM Loss: 0.0082
Client 19 (EMNIST) | Target Loss: 0.4863 | DDIM Loss: 0.0082
Client 20 (EMNIST) | Target Loss: 0.5145 | DDIM Loss: 0.0082
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
--- Round 10 ---
Client 0 (MNIST) | Target Loss: 0.1286 | DDIM Loss: 0.0119
Client 1 (MNIST) | Target Loss: 0.0359 | DDIM Loss: 0.0118
Client 2 (MNIST) | Target Loss: 0.0339 | DDIM Loss: 0.0118
Client 3 (MNIST) | Target Loss: 0.0278 | DDIM Loss: 0.0122
Client 4 (MNIST) | Target Loss: 0.1402 | DDIM Loss: 0.0118
Client 5 (MNIST) | Target Loss: 0.4627 | DDIM Loss: 0.0140
Client 6 (MNIST) | Target Loss: 0.0678 | DDIM Loss: 0.0118
Client 7 (MNIST) | Target Loss: 0.0486 | DDIM Loss: 0.0119
Client 8 (MNIST) | Target Loss: 0.5727 | DDIM Loss: 0.0155
Client 9 (MNIST) | Target Loss: 0.1210 | DDIM Loss: 0.0118
Client 11 (EMNIST) | Target Loss: 0.4467 | DDIM Loss: 0.0081
Client 12 (EMNIST) | Target Loss: 0.4166 | DDIM Loss: 0.0081
Client 13 (EMNIST) | Target Loss: 0.3196 | DDIM Loss: 0.0080
Client 14 (EMNIST) | Target Loss: 0.3008 | DDIM Loss: 0.0081
Client 15 (EMNIST) | Target Loss: 0.4646 | DDIM Loss: 0.0080
Client 16 (EMNIST) | Target Loss: 0.6472 | DDIM Loss: 0.0081
Client 17 (EMNIST) | Target Loss: 0.3790 | DDIM Loss: 0.0081
Client 18 (EMNIST) | Target Loss: 0.2857 | DDIM Loss: 0.0080
Client 19 (EMNIST) | Target Loss: 0.4711 | DDIM Loss: 0.0081
Client 20 (EMNIST) | Target Loss: 0.4960 | DDIM Loss: 0.0081
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
--- Round 11 ---
Client 0 (MNIST) | Target Loss: 0.1425 | DDIM Loss: 0.0114
Client 1 (MNIST) | Target Loss: 0.0388 | DDIM Loss: 0.0112
Client 2 (MNIST) | Target Loss: 0.0138 | DDIM Loss: 0.0115
Client 3 (MNIST) | Target Loss: 0.0210 | DDIM Loss: 0.0112
Client 4 (MNIST) | Target Loss: 0.1202 | DDIM Loss: 0.0114
Client 5 (MNIST) | Target Loss: 0.4209 | DDIM Loss: 0.0115
Client 6 (MNIST) | Target Loss: 0.0595 | DDIM Loss: 0.0115
Client 7 (MNIST) | Target Loss: 0.0230 | DDIM Loss: 0.0113
Client 8 (MNIST) | Target Loss: 0.4602 | DDIM Loss: 0.0114
Client 9 (MNIST) | Target Loss: 0.1624 | DDIM Loss: 0.0114
Client 11 (EMNIST) | Target Loss: 0.4390 | DDIM Loss: 0.0080
Client 12 (EMNIST) | Target Loss: 0.4074 | DDIM Loss: 0.0079
Client 13 (EMNIST) | Target Loss: 0.3064 | DDIM Loss: 0.0080
Client 14 (EMNIST) | Target Loss: 0.2866 | DDIM Loss: 0.0079
Client 15 (EMNIST) | Target Loss: 0.4482 | DDIM Loss: 0.0079
Client 16 (EMNIST) | Target Loss: 0.6334 | DDIM Loss: 0.0080
Client 17 (EMNIST) | Target Loss: 0.3693 | DDIM Loss: 0.0080
Client 18 (EMNIST) | Target Loss: 0.2681 | DDIM Loss: 0.0079
Client 19 (EMNIST) | Target Loss: 0.4602 | DDIM Loss: 0.0080
Client 20 (EMNIST) | Target Loss: 0.4920 | DDIM Loss: 0.0080
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
--- Round 12 ---
Client 0 (MNIST) | Target Loss: 0.1161 | DDIM Loss: 0.0113
Client 1 (MNIST) | Target Loss: 0.0475 | DDIM Loss: 0.0111
Client 2 (MNIST) | Target Loss: 0.0216 | DDIM Loss: 0.0112
Client 3 (MNIST) | Target Loss: 0.0208 | DDIM Loss: 0.0114
Client 4 (MNIST) | Target Loss: 0.1025 | DDIM Loss: 0.0113
Client 5 (MNIST) | Target Loss: 0.3918 | DDIM Loss: 0.0110
Client 6 (MNIST) | Target Loss: 0.0560 | DDIM Loss: 0.0109
Client 7 (MNIST) | Target Loss: 0.0404 | DDIM Loss: 0.0110
Client 8 (MNIST) | Target Loss: 0.3982 | DDIM Loss: 0.0133
Client 9 (MNIST) | Target Loss: 0.0966 | DDIM Loss: 0.0112
Client 11 (EMNIST) | Target Loss: 0.4281 | DDIM Loss: 0.0079
Client 12 (EMNIST) | Target Loss: 0.3967 | DDIM Loss: 0.0078
Client 13 (EMNIST) | Target Loss: 0.2947 | DDIM Loss: 0.0079
Client 14 (EMNIST) | Target Loss: 0.2725 | DDIM Loss: 0.0078
Client 15 (EMNIST) | Target Loss: 0.4393 | DDIM Loss: 0.0078
Client 16 (EMNIST) | Target Loss: 0.6187 | DDIM Loss: 0.0078
Client 17 (EMNIST) | Target Loss: 0.3601 | DDIM Loss: 0.0079
